Biomass components (m_i);ID;Coefficient(c_i)
L-Alanine;C00041_c;0,213054
L-Arginine;C00062_c;0,111232
L-Asparagine;C00152_c;0,1732
L-Aspartate;C00441_c;0,261826
L-Cysteine;C00097_c;0,0192
L-Glutamine;C00064_c;0,128404
L-Glutamate;C00025_c;0,272384
Glycine;C00037_c;0,190372
L-Histidine;C00135_c;0,073566
L-Isoleucine;C00407_c;0,269934
L-Leucine;C00123_c;0,282708
L-Lysine;C00047_c;0,23607
L-Methionine;C00073_c;0,083908
L-Phenylalanine;C00079_c;0,137802
L-Proline;C00148_c;0,116502
L-Serine;C00065_c;0,198104
L-Threonine;C00188_c;0,179384
L-Tryptophan;C00078_c;0,023038
L-Tyrosine;C00082_c;0,1192
L-Valine;C00183_c;0,207868
ATP;C00002_c;56,318532
dATP;C00131_c;0,02028
dCTP;C00458_c;0,0099
dGTP;C00286_c;0,0099
dTTP;C00459_c;0,02028
CTP;C00063_c;0,05952
GTP;C00044_c;0,05952
UTP;C00075_c;0,06072
K+;C00238_c;1,86893
Mg+2;C00305_c;0,125342
Na+;C01330_c;0,27853
Orthophosphate;C00009_c;0,139258
D-Glucose;C00031_c;0,06685
Acetyl-CoA;C00024_c;0,0000462
Succinyl-CoA;C00091_c;0,0000028
CoA;C00010_c;0,000056
FAD;C00016_c;0,0000938
NAD;C00003_c;0,0020062
NADH;C00004_c;0,0000462
NADP;C00006_c;0,0001218
NADPH;C00005_c;0,0003738
